schoolid,schoolName,city,zip,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,rank,rankOf,rankStars,rankLevel,rankStatewidePercentage,averageStandardScore,isPrivate
69999930673,Nautilus Montessori School,Roseville,95747,PK,K,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60198910387,All Tribes Charter,Valley Center,92082,6,12,High,Yes,No,No,(n/a),,,,,,,FALSE
60152112735,All Tribes Elementary Charter,Valley Center,92082,K,5,Elementary,Yes,No,No,(n/a),,,,,,,FALSE
60006911158,Lilac,Valley Center,92082,K,5,Elementary,No,No,No,Yes,3093,5789,2,Elementary,46.57,41.58473,FALSE
60006908608,Oak Glen High,Valley Center,92082,9,12,High,No,No,No,Yes,1756,2133,1,High,17.67,15.4076,FALSE
60006908614,Valley Center Elementary,Valley Center,92082,3,5,Elementary,No,No,No,Yes,3857,5789,2,Elementary,33.37,30.96157,FALSE
60006908607,Valley Center High,Valley Center,92082,9,12,High,No,No,No,No,684,2133,3,High,67.93,62.55797,FALSE
60006908612,Valley Center Middle,Valley Center,92082,6,8,Middle,No,No,No,No,1967,2715,1,Middle,27.55,25.80775,FALSE
60006910646,Valley Center Prep,Valley Center,92082,K,12,Other,No,No,No,No,,,,,,,FALSE
60006908613,Valley Center Primary,Valley Center,92082,K,2,Elementary,No,No,No,Yes,,,,,,,FALSE
60687009522,Jenny Lind Elementary,Valley Springs,95252,K,5,Elementary,No,No,No,Yes,5496,5789,0,Elementary,5.06,11.33832,FALSE
60687008803,Toyon Middle,Valley Springs,95252,6,8,Middle,No,No,No,Yes,1745,2715,2,Middle,35.73,31.16182,FALSE
60687000631,Valley Springs Elementary,Valley Springs,95252,K,5,Elementary,No,No,No,Yes,3833,5789,2,Elementary,33.79,31.27755,FALSE
69999953712,Forest Lake Christian School,Auburn,95602,K,K,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60001412100,Canyon Ridge High,Hesperia,92344,9,12,High,No,No,No,Yes,1700,2133,1,High,20.3,16.83004,FALSE
60001412103,Cedar Middle,Hesperia,92344,7,8,Middle,No,No,No,Yes,2121,2715,1,Middle,21.88,21.37246,FALSE
60001407295,Mesquite Trails Elementary,Hesperia,92344,K,6,Elementary,No,No,No,Yes,2208,5789,3,Elementary,61.86,56.98794,FALSE
60001412171,Mission Crest Elementary,Hesperia,92344,K,6,Elementary,No,No,No,Yes,5075,5789,1,Elementary,12.33,17.01623,FALSE
60001412417,Oak Hills High,Oak Hills,92344,9,12,High,No,No,No,Yes,867,2133,3,High,59.35,54.44266,FALSE
60141406015,Adams Elementary,Santa Barbara,93105,K,6,Elementary,No,No,No,Yes,2085,5789,3,Elementary,63.98,59.8395,FALSE
69999942065,Cachuma Elementary And Middle School,Santa Barbara,93105,PK,7,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999906373,El Montecito School San Roque,Santa Barbara,93105,PK,6,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999944551,Eureka School Of Santa Barbara,Santa Barbara,93105,10,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60151306027,Peabody Charter,Santa Barbara,93105,K,6,Elementary,Yes,No,No,Yes,1548,5789,4,Elementary,73.26,71.22436,FALSE
