schoolid,schoolName,url,street_address,city,zip,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,districtName,countyName,rank,rankOf,rankStars,rankLevel,rankStatewidePercentage,averageStandardScore,rankMovement,numberOfStudents,teachersFulltime,isPrivate
069999907631,North Kern Christian School,https://www.schooldigger.com/go/CA/schools/9999907631/school.aspx,710 Peters St,Wasco,93280,PK,12,Private,(n/a),(n/a),(n/a),(n/a),,Kern County,,,,,,,,,,True
060007410812,North Kern Vocational Training Center,https://www.schooldigger.com/go/CA/schools/0007410812/school.aspx,2150 Seventh St.,Wasco,93280,9,12,High,No,(n/a),(n/a),(n/a),North Kern Vocational Training Center,Kern County,,,,,,,,0,,False
064140006846,Palm Avenue Middle,https://www.schooldigger.com/go/CA/schools/4140006846/school.aspx,1017 Palm Ave.,Wasco,93280,6,8,Middle,No,No,No,Yes,Wasco Union Elementary,Kern County,,,,,,,,612,,False
063135004865,Pond Elementary,https://www.schooldigger.com/go/CA/schools/3135004865/school.aspx,29585 Pond Rd.,Wasco,93280,K,8,Elementary,No,No,No,Yes,Pond Union Elementary,Kern County,4832,5789,1,Elementary,16.53,19.63425,-1258,164,,False
063633006192,Semitropic Elementary,https://www.schooldigger.com/go/CA/schools/3633006192/school.aspx,25300 Highway 46,Wasco,93280,K,8,Elementary,No,No,No,Yes,Semitropic Elementary,Kern County,5661,5789,0,Elementary,2.21,8.11368,-77,205,,False
061674009847,Anthony W. Ochoa Middle,https://www.schooldigger.com/go/CA/schools/1674009847/school.aspx,2121 Depot Rd.,Hayward,94545,7,8,Middle,No,No,No,Yes,Hayward Unified,Alameda County,1357,2715,3,Middle,50.02,42.79431,-203,538,,False
069999953629,Calforina Crosspoint Academy,https://www.schooldigger.com/go/CA/schools/9999953629/school.aspx,25500 Industrial Blvd,Hayward,94545,6,12,Private,(n/a),(n/a),(n/a),(n/a),,Alameda County,,,,,,,,,,True
060008510732,Eden Area Regional Occupational Program,https://www.schooldigger.com/go/CA/schools/0008510732/school.aspx,26316 Hesperian Blvd.,Hayward,94545,10,12,High,No,(n/a),(n/a),(n/a),Eden Area Regional Occupational Program,Alameda County,,,,,,,,0,,False
061674002110,Eden Gardens Elementary,https://www.schooldigger.com/go/CA/schools/1674002110/school.aspx,2184 Thayer Ave.,Hayward,94545,K,6,Elementary,No,No,No,Yes,Hayward Unified,Alameda County,4302,5789,1,Elementary,25.69,25.59251,-595,530,,False
060164711849,Impact Academy of Arts & Technology,https://www.schooldigger.com/go/CA/schools/0164711849/school.aspx,2560 Darwin St.,Hayward,94545,6,12,High,Yes,No,No,Yes,Impact Academy of Arts & Technology District,Alameda County,696,2133,3,High,67.37,61.97117,,844,,False
060181510737,Leadership Public Schools - Hayward,https://www.schooldigger.com/go/CA/schools/0181510737/school.aspx,28000 Calaroga Ave.,Hayward,94545,9,12,High,Yes,No,No,Yes,Leadership Public Schools - Hayward District,Alameda County,689,2133,3,High,67.7,62.33995,,601,,False
061674002121,Lorin A. Eden Elementary,https://www.schooldigger.com/go/CA/schools/1674002121/school.aspx,27790 Portsmouth Ave.,Hayward,94545,K,6,Elementary,No,No,No,Yes,Hayward Unified,Alameda County,3585,5789,2,Elementary,38.07,34.35312,218,370,,False
061674002107,Martin Luther King Junior Middle,https://www.schooldigger.com/go/CA/schools/1674002107/school.aspx,26890 Holly Hill Ave.,Hayward,94545,7,8,Middle,No,No,No,Yes,Hayward Unified,Alameda County,1121,2715,3,Middle,58.71,51.20153,-44,747,,False
069999944632,Montessori Children's House Of Hayward,https://www.schooldigger.com/go/CA/schools/9999944632/school.aspx,26236 Adrian Ave,Hayward,94545,K,3,Private,(n/a),(n/a),(n/a),(n/a),,Alameda County,,,,,,,,,,True
061674002124,Mt. Eden High,https://www.schooldigger.com/go/CA/schools/1674002124/school.aspx,2300 Panama St.,Hayward,94545,9,12,High,No,No,No,Yes,Hayward Unified,Alameda County,993,2133,3,High,53.45,49.49013,-393,1999,,False
069999953848,Little Scholars Academy Of California,https://www.schooldigger.com/go/CA/schools/9999953848/school.aspx,1510 W Almond Ave,Orange,92868,PK,K,Private,(n/a),(n/a),(n/a),(n/a),,Orange County,,,,,,,,,,True
062865004446,Portola Middle,https://www.schooldigger.com/go/CA/schools/2865004446/school.aspx,270 N. Palm Dr.,Orange,92868,6,8,Middle,No,No,No,Yes,Orange Unified,Orange County,2017,2715,1,Middle,25.71,24.215,-176,659,,False
062865004453,Sycamore Elementary,https://www.schooldigger.com/go/CA/schools/2865004453/school.aspx,340 N. Main St.,Orange,92868,K,6,Elementary,No,No,No,Yes,Orange Unified,Orange County,3855,5789,2,Elementary,33.41,30.97664,-116,402,,False
060211314191,Unity Middle College High,https://www.schooldigger.com/go/CA/schools/0211314191/school.aspx,1937 W. Chapman Ave.,Orange,92868,9,12,High,Yes,No,No,Yes,Unity Middle College High District,Orange County,734,2133,3,High,65.59,60.25367,,103,,False
062865004458,West Orange Elementary,https://www.schooldigger.com/go/CA/schools/2865004458/school.aspx,243 S. Bush,Orange,92868,K,6,Elementary,No,No,No,Yes,Orange Unified,Orange County,2024,5789,3,Elementary,65.04,60.75736,373,387,,False
063441005681,Cobb (William L.) Elementary,https://www.schooldigger.com/go/CA/schools/3441005681/school.aspx,2725 CA St.,San Francisco,94115,K,5,Elementary,No,No,No,Yes,San Francisco Unified,San Francisco County,5180,5789,1,Elementary,10.52,15.78993,-11,136,,False
069999906157,Convent & Stuart Hall,https://www.schooldigger.com/go/CA/schools/9999906157/school.aspx,2222 Broadway St,San Francisco,94115,K,12,Private,(n/a),(n/a),(n/a),(n/a),,San Francisco County,,,,,,,,,,True
060215503982,Creative Arts Charter,https://www.schooldigger.com/go/CA/schools/0215503982/school.aspx,1601 Turk St.,San Francisco,94115,K,8,Elementary,Yes,No,No,Yes,Creative Arts Charter District,San Francisco County,642,5789,4,Elementary,88.91,90.02993,,440,,False
069999906333,Drew School,https://www.schooldigger.com/go/CA/schools/9999906333/school.aspx,2901 California St,San Francisco,94115,9,12,Private,(n/a),(n/a),(n/a),(n/a),,San Francisco County,,,,,,,,,,True
060242607725,Gateway High,https://www.schooldigger.com/go/CA/schools/0242607725/school.aspx,1430 Scott St.,San Francisco,94115,9,12,High,Yes,No,No,Yes,Gateway High District,San Francisco County,502,2133,4,High,76.47,71.77295,,485,,False
060186112800,Gateway Middle,https://www.schooldigger.com/go/CA/schools/0186112800/school.aspx,1512 Golden Gate Ave.,San Francisco,94115,6,8,Middle,Yes,No,No,Yes,Gateway Middle District,San Francisco County,990,2715,3,Middle,63.54,56.2881,,303,,False
069999906685,Hamlin School,https://www.schooldigger.com/go/CA/schools/9999906685/school.aspx,2120 Broadway St,San Francisco,94115,K,8,Private,(n/a),(n/a),(n/a),(n/a),,San Francisco County,,,,,,,,,,True
069999953771,Hillwood Academic Day School,https://www.schooldigger.com/go/CA/schools/9999953771/school.aspx,2521 Scott St,San Francisco,94115,1,8,Private,(n/a),(n/a),(n/a),(n/a),,San Francisco County,,,,,,,,,,True
069999930566,Jewish Community High School Of The Bay,https://www.schooldigger.com/go/CA/schools/9999930566/school.aspx,1835 Ellis St,San Francisco,94115,9,12,Private,(n/a),(n/a),(n/a),(n/a),,San Francisco County,,,,,,,,,,True
060162611255,KIPP San Francisco Bay Academy,https://www.schooldigger.com/go/CA/schools/0162611255/school.aspx,1430 Scott St.,San Francisco,94115,5,8,Middle,Yes,No,No,Yes,KIPP San Francisco Bay Academy District,San Francisco County,1538,2715,2,Middle,43.35,37.37232,,357,,False
061551008345,El Camino Elementary,https://www.schooldigger.com/go/CA/schools/1551008345/school.aspx,5020 San Simeon Dr.,Santa Barbara,93111,K,6,Elementary,No,No,No,Yes,Goleta Union Elementary,Santa Barbara County,2652,5789,3,Elementary,54.19,48.9313,17,246,,False
061551001970,Foothill Elementary,https://www.schooldigger.com/go/CA/schools/1551001970/school.aspx,711 Ribera Dr.,Santa Barbara,93111,K,6,Elementary,No,No,No,No,Goleta Union Elementary,Santa Barbara County,416,5789,5,Elementary,92.81,93.27036,-69,441,,False
061551001971,Hollister Elementary,https://www.schooldigger.com/go/CA/schools/1551001971/school.aspx,4950 Anita Ln.,Santa Barbara,93111,K,6,Elementary,No,No,No,Yes,Goleta Union Elementary,Santa Barbara County,1731,5789,4,Elementary,70.1,67.25319,194,413,,False
061551001975,Mountain View Elementary,https://www.schooldigger.com/go/CA/schools/1551001975/school.aspx,5465 Queen Anne Ln.,Santa Barbara,93111,K,6,Elementary,No,No,No,No,Goleta Union Elementary,Santa Barbara County,328,5789,5,Elementary,94.33,94.51133,-52,341,,False
061062001175,Birch Lane Elementary,https://www.schooldigger.com/go/CA/schools/1062001175/school.aspx,1600 Birch Ln.,Davis,95616,K,6,Elementary,No,Yes,No,Yes,Davis Joint Unified,Yolo County,1366,5789,4,Elementary,76.4,75.48612,-161,592,,False
