,zipcode,county_name,city,population,population_rank,city_name,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_65_years_and_over,hhi_lt_25k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
68,90069,Los Angeles,Los Angeles,3966936,1,Los Angeles; West Hollywood,5475727,93380,145432,92082,0.198,48958,56113,1826,2476,20230,9570.0,42.9,0.433,0.241,0.02301,0.04898,14447,846700
69,90090,Los Angeles,Los Angeles,3966936,1,Los Angeles,599382,73458,105756,43250,0.11755,41391,52628,2812,1360,37225,11300.0,37.4,0.2499,0.1455,0.1265,0.06683,14122,769723
70,90293,Los Angeles,Los Angeles,3966936,1,Los Angeles,7403899,105865,148294,78988,0.2091,41391,105765,612,1378,12728,4452.0,37.9,0.444,0.28,0.03302,0.03,7058,800400
71,90831,Los Angeles,Long Beach,466776,7,Long Beach,107160,68372,90614,35895,0.08905,41443,47284,2849,1200,38207,8580.0,40.5,0.2125,0.1342,0.1079,0.05386,15850,541078
72,92865,Orange,Orange,139887,41,Orange,9863757,104103,116908,37668,0.129,45204,77500,502,828,20664,5424.0,35.8,0.236,0.115,0.04398,0.042,6478,604700
73,92122,San Diego,San Diego,1409573,2,San Diego,41297838,79816,101188,43620,0.125,18000,69819,3628,2495,48071,3014.0,30.4,0.347,0.3918,0.053,0.052,21467,732600
74,95825,Sacramento,Sacramento,500930,6,Arden-Arcade; Sacramento,12212460,40515,56125,25499,0.021,22238,36551,5251,341,37473,7948.0,32.1,0.228,0.106,0.27,0.10706,17233,298100
75,95826,Sacramento,Sacramento,500930,6,La Riviera; Rosemont; Sacramento,29579614,64241,78234,31524,0.04102,29831,56435,2664,630,39145,3428.0,33.5,0.24,0.09796,0.118,0.063,16196,305800
76,95827,Sacramento,Rancho Cordova,73147,120,La Riviera; Mather; Rancho Cordova; Rosemont,19972082,59115,74498,27612,0.03099,43375,52121,1030,229,20666,2680.0,35.2,0.167,0.06396,0.073,0.07697,7664,266900
77,90001,Los Angeles,Florence-Graham,65716,137,Florence-Graham; Huntington Park; Los Angeles,9071081,43360,54325,13727,0.007004,41207,31250,3646,97,59832,17090.0,29.1,0.048,0.007996,0.2329,0.08704,14174,359000
78,95126,Santa Clara,San Jose,1027690,3,San Jose,8512339,99160,137171,58283,0.2091,76279,36114,2114,3147,36206,11016.0,34.3,0.288,0.236,0.057,0.038,15804,893900
79,90071,Los Angeles,Los Angeles,3966936,1,Los Angeles,319156,61875,76692,72511,0.101,41391,52628,5,12,126,1022.5,41.3,0.2379,0.167,0.1265,0.06683,119,769723
80,90077,Los Angeles,Los Angeles,3966936,1,Los Angeles,18991437,209531,330006,126291,0.518,41391,160428,139,1643,8382,1143.0,48.5,0.349,0.443,0.02802,0.04398,3791,2000001
81,95211,San Joaquin,Stockton,309228,13,Stockton,391984,54647,72213,1884,0.04507,42397,43902,2214,486,1624,10730.0,19.6,0.5293,0.05115,0.157,0.15,10896,272084
82,90706,Los Angeles,Bellflower,77195,115,Bellflower,15823886,60011,76903,24628,0.039,39079,34074,4423,901,77195,12630.0,34.6,0.136,0.04898,0.09796,0.058,24874,458600
83,90710,Los Angeles,Los Angeles,3966936,1,Los Angeles; West Carson,6096999,63907,84138,29075,0.06,27240,52757,1692,557,28045,11910.0,37.8,0.187,0.08203,0.123,0.07,9651,500600
84,90712,Los Angeles,Lakewood,80292,107,Lakewood,11092562,96634,108424,37420,0.099,38333,62808,812,1024,31217,7290.0,39.3,0.235,0.09296,0.035,0.05,10743,572000
85,92132,San Diego,San Diego,1409573,2,San Diego,83674,91413,118823,43693,0.1499,46902,67119,2111,1787,38078,5136.0,35.66,0.2664,0.2023,0.07336,0.05734,15363,728818
86,90744,Los Angeles,Los Angeles,3966936,1,Los Angeles,21743450,50875,65582,18352,0.02802,39543,38700,3040,416,56880,6776.0,30.6,0.065,0.02,0.1641,0.059,15405,397700
87,90745,Los Angeles,Carson,92079,83,Carson,21515116,80176,97137,27395,0.079,50136,55691,1838,1175,56930,6852.0,38.7,0.226,0.047,0.072,0.058,15439,445100
88,90746,Los Angeles,Carson,92079,83,Carson,15106968,89364,106260,34611,0.117,50136,68828,978,961,27075,4640.0,42.9,0.2009,0.1371,0.045,0.07104,8285,506600
89,90755,Los Angeles,Long Beach,466776,7,Long Beach; Signal Hill,5643682,75426,95685,40271,0.145,53272,59808,816,690,11545,5300.0,37.9,0.313,0.151,0.12103,0.054,4931,507500
90,90802,Los Angeles,Long Beach,466776,7,Long Beach,16799415,54616,72678,39665,0.04398,40938,32131,4823,904,38962,6010.0,36.4,0.257,0.155,0.148,0.059,22834,404100
91,90803,Los Angeles,Long Beach,466776,7,Long Beach,10444951,90278,124551,66220,0.1489,36250,83266,1942,2483,32126,7970.0,45.4,0.324,0.229,0.03099,0.043,18134,897800
92,90804,Los Angeles,Long Beach,466776,7,Long Beach,5475897,52948,70607,28129,0.043,21202,31364,3435,650,39239,18560.0,32.0,0.198,0.09,0.147,0.043,15695,517600
