"zip","rank","rankOf","rankStars","rankStatewidePercentage","averageStandardScore","has_elementary","has_middle","has_high"
"91706","3130.55556","4699.66667","1.66667","35.05222","33.15897","1","1","1"
"91708","1672","5789","4","71.12","68.50253","1","0","0"
"91709","1181","4635","3.44444","71.26","70.81411","1","1","1"
"91710","2196.4","4326.6","2.4","46.058","43.92381","1","0","1"
"91722","1823.75","4033.75","2.5","51.325","47.70148","1","1","1"
"91730","2359.66667","5276.66667","2.83333","56.00333","52.76436","1","1","0"
"91731","2364.83333","5179.66667","2.83333","55.89333","51.84594","1","0","1"
"91732","2470.2","4443","2.2","43.099","39.80206","1","1","1"
"91733","2626.875","4947.75","2.375","48.76","44.96753","1","1","1"
"91739","540.28571","4388.42857","4.42857","87.42571","86.77649","1","1","1"
"91740","1525.83333","4570.33333","2.83333","58.05833","55.81439","1","0","1"
"91744","2509.71429","5266.71429","2.57143","51.51143","47.39227","1","0","1"
"91745","1418.6","5057.8","3.7","72.16","69.77301","1","0","1"
"91748","1281.2","4443","3.8","74.55","73.08627","1","1","1"
"91750","836.75","3961","3.75","71.1025","70.3692","1","0","1"
"91754","1256.6","5789","3.8","78.294","77.45485","1","0","0"
"91755","1355","4764.33333","3.33333","67.68333","63.68067","1","1","0"
"91761","2632.75","4563.5","2.125","44.65375","41.37049","1","1","1"
"91762","2709.22222","4635","2.11111","43.94667","40.2435","1","1","1"
"91763","2291","5332","2.875","58.22375","53.44647","1","0","1"
"91764","3240.22222","5382.77778","2.22222","42.64111","40.77867","1","0","1"
"91765","1052.71429","4827.57143","4.14286","81.17","79.73559","1","1","1"
"91766","2987.7","4692.2","1.9","38.983","37.67698","1","0","1"
"91767","3565.33333","4635","1.11111","22.94778","24.00274","1","1","1"
"91768","2828.875","4490.75","2.125","41.29125","39.91763","1","1","1"
"91770","1153.25","5020.5","3.875","77.73","76.49686","1","1","0"
"91773","1355.4","5057.8","3.2","64.79","64.64499","1","0","1"
"91775","855","5789","4","85.23","85.83613","1","0","0"
"91784","679.33333","4764.33333","4","85.48","85.37276","1","1","0"
"91786","2849","5332","2.25","44.73375","41.64314","1","0","1"
"91790","2202.28571","4827.57143","2.71429","54.74857","50.516","1","1","1"
"91791","1370.16667","4667.33333","3.33333","65.06667","62.88828","1","1","1"
"91792","2707.66667","4764.33333","2","39.87667","36.08335","1","1","0"
"91801","1647.75","3961","3","54.7575","51.91814","1","0","1"
"91803","2363.25","5789","2.75","59.175","54.86685","1","0","0"
"91901","1587.5","5020.5","3","68.135","64.29358","1","1","0"
"91910","1355.14286","4910.71429","3.42857","69.67286","67.57935","1","1","0"
"91911","2330.125","4490.75","2.375","46.94875","42.64489","1","1","1"
"91913","623","4222.14286","4.28571","84.63143","83.82148","1","0","1"
"91915","999.25","4490.75","3.625","74.89","73.14538","1","1","1"
"91932","3902.2","5057.8","1.2","25.458","26.91619","1","0","1"
"91941","2283.88889","5382.77778","2.88889","59.42889","55.86084","1","0","1"
"91942","1185.25","4252","3.5","75.0375","72.25859","1","1","0"
"91945","3476.2","5789","2","39.95","36.26565","1","0","0"
"91950","3236.33333","5447.44444","2","41.16778","37.17325","1","1","0"
"91977","2764.625","4490.75","2","42.45125","40.35572","1","1","1"
"92003","693.33333","3545.66667","4","80.85667","79.07524","1","1","1"
"92008","907.33333","4058","3.5","73.46","72.07672","1","1","1"
"92010","91","2133","5","95.73","95.36158","0","0","1"
"92019","1918.75","4106.5","3","59.6425","56.59233","1","1","1"
"92020","2573.25","4179.25","1.75","34.13625","34.32883","1","1","1"
"92021","2254.42857","4388.42857","2.14286","45.80143","44.12994","1","1","1"
"92024","566.16667","4764.33333","4.33333","88.675","89.24682","1","1","0"
"92025","2929","4388.42857","2.14286","39.79286","39.20159","1","1","1"
"92026","2726.14286","4827.57143","2.14286","44.79143","41.86638","1","1","1"
"92027","2870.77778","4635","2.22222","42.06","41.21485","1","1","1"
"92028","2245.85714","4305.28571","2.28571","45.73571","42.1008","1","1","1"
"92029","663.5","3961","4.5","86.155","85.5099","1","0","1"
"92037","96.25","4106.5","5","96.7225","96.11339","1","1","1"
"92040","2068.2","4443","2.6","55.922","53.78243","1","1","1"
"92054","2810.42857","4305.28571","1.85714","35.27143","34.159","1","1","1"
"92056","1682.33333","5276.66667","3.5","66.885","63.63748","1","1","0"
"92057","1762.88889","4293.44444","3.11111","61.21889","59.37433","1","1","1"
"92058","2587.5","5404.75","2.5","50.14375","49.0436","1","1","0"
"92064","933","4443","3.6","72.126","71.83425","1","1","1"
"92065","2121.85714","4827.57143","2.42857","53.77429","49.22867","1","1","1"
"92067","122.33333","4764.33333","5","97.65","97.11286","1","1","0"
"92069","905.8","4326.6","3.8","74.352","73.3856","1","0","1"
"92071","1927","5332","3.125","64.34375","61.85184","1","0","1"
"92075","185.5","4252","5","95.34","95.28117","1","1","1"
"92078","1416","4667.33333","3.5","70.65833","67.96591","1","1","1"
"92081","1254","3961","3.5","70.535","66.00379","1","0","1"
"92082","2271.4","3711.8","1.8","38.618","35.26392","1","1","1"
"92083","2877.28571","5266.71429","2.14286","41.85","41.55881","1","0","1"
"92084","2796.75","4106.5","1.75","34.17","33.20722","1","1","1"
"92101","1312.625","2205.75","2.125","40.01375","36.23966","0","1","1"
"92102","2907.88889","4699.66667","2","39.27333","37.90772","1","1","1"
"92103","1139","5174.2","3.8","75.768","73.8177","1","1","0"
"92104","1344.66667","5789","4","76.77333","75.11497","1","0","0"
"92105","3555.55556","5041.22222","1.55556","31.24111","30.17328","1","1","1"
"92106","1430.44444","3887.22222","3.22222","66.03111","61.99965","1","1","1"
"92107","354.25","5020.5","4.75","91.5825","91.17141","1","1","0"
"92109","680","4667.33333","4.33333","83.44333","82.25941","1","1","1"
"92110","970.5","5789","4.25","83.235","82.81815","1","0","1"
"92111","2031.25","5789","3.25","64.91","63.83414","1","1","1"
"92113","3758.7","4808.6","1.1","21.442","22.33286","1","1","1"
"92114","3138","5057.8","1.9","38.591","36.08441","1","0","1"
"92115","2788.75","4875","2.25","41.49375","39.37335","1","0","1"
"92116","2284","5789","3","60.544","57.81931","1","0","0"
"92117","1417.57143","4388.42857","3.14286","62.44","59.57659","1","1","1"
"92118","388","4106.5","4.75","92.0475","92.49038","1","1","1"
"92119","808.5","5020.5","4.25","83.2925","82.18968","1","1","0"
"92120","655.14286","4388.42857","4.28571","85.4","84.26496","1","1","1"
"92121","896","2133","3","57.99","53.28312","0","0","1"
"92122","530.2","4443","4.8","89","88.94383","1","1","1"
"92123","1312.125","4875","3.5","72.01875","69.4235","1","0","1"
"92124","875.25","4563.5","3.875","78.875","77.19199","1","1","1"
"92126","728.71429","4827.57143","4.57143","85.79714","85.34461","1","1","1"
"92128","423.66667","4667.33333","4.5","91.32167","91.70686","1","1","1"
"92129","244.3","4808.6","5","94.732","94.66764","1","1","1"
