name,county_name,city_name,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_25_to_44_years,householder_45_to_64_years,householder_65_years_and_over,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
91016,Los Angeles,Mayflower Village; Monrovia; South Monrovia Island,21986816,77622,99260,36037,10.1%,56467,92327,84230,42726,14318,2116,2663,2148,2025,2702,1225,1439,41105,4842.1,40.5,22.9%,14.1%,5.7%,6.0%,15156,642400
91101,Los Angeles,Pasadena,3444752,70075,88213,45452,8.6%,28393,87276,67449,20245,10739,2707,1396,1484,1596,1892,744,920,21395,16086.1,34.9,31.5%,30.2%,11.6%,3.4%,12664,545200
91103,Los Angeles,Pasadena,13953465,71231,117660,38586,11.3%,24167,74975,81310,46289,8515,2000,1282,1169,1018,1262,824,960,27659,5134.0,38.2,19.6%,16.0%,14.0%,4.5%,9137,716700
91104,Los Angeles,Altadena; Pasadena,9856461,77919,109067,39342,15.6%,50464,90779,95682,45405,13164,2574,1941,1861,1535,1965,1233,2055,37874,9952.2,40.5,25.7%,18.8%,9.4%,4.3%,13972,744000
91105,Los Angeles,Los Angeles; Pasadena,9562008,131158,175410,77880,28.9%,2499,130458,148681,107792,5505,574,483,550,592,983,733,1590,12617,3417.5,47.9,33.3%,36.0%,2.4%,4.2%,6347,1159700
91106,Los Angeles,Pasadena,7628388,82211,116786,50160,12.4%,29792,89222,96012,58727,10665,1900,1441,1590,1318,1888,1206,1322,25543,8672.4,34.2,31.8%,28.4%,9.3%,5.0%,12062,737600
91201,Los Angeles,Glendale,6097692,60101,92158,34468,10.9%,28864,84784,68897,28676,8309,2120,1442,1276,848,1073,645,905,23281,9888.6,42.4,19.9%,12.9%,9.0%,7.7%,8631,795200
91202,Los Angeles,Glendale,5308490,75703,101777,40606,10.4%,70500,94506,88571,42576,8903,1677,1365,1396,1125,1742,676,922,23345,11389.9,43.8,27.8%,17.3%,6.2%,7.2%,9389,767500
91203,Los Angeles,Glendale,2119995,61071,81107,33570,7.0%,56458,76610,60639,19620,6110,1505,1149,1014,671,1026,316,429,15410,18826.3,37.5,25.7%,11.6%,12.2%,6.5%,6528,514900
91204,Los Angeles,Glendale,2911117,49122,69009,25800,4.2%,82734,62827,53295,21304,6485,1882,1403,1116,703,790,318,273,18723,16657.6,37.6,21.3%,6.5%,20.6%,9.7%,6848,500500
91205,Los Angeles,Glendale,4897493,44835,66305,26661,4.7%,50931,64702,59021,19554,14382,4523,3061,2236,1536,1471,884,671,37638,19904.5,41.6,22.1%,12.2%,14.4%,7.3%,15271,585100
91206,Los Angeles,Glendale,15235310,70141,95022,37939,9.9%,52880,89622,74683,33996,13372,3015,2104,1977,1538,2205,1213,1320,34739,5905.6,41.8,27.0%,14.9%,10.8%,6.0%,14226,781300
91207,Los Angeles,Glendale,11773778,85956,138383,52888,19.5%,155189,132109,101814,37938,4081,620,701,518,373,678,394,797,11031,2426.6,46.1,29.1%,21.3%,2.9%,4.5%,4313,1021600
91208,Los Angeles,Glendale,17875561,108374,150009,56533,24.2%,85754,108583,129489,86250,5855,581,566,697,795,1179,620,1417,15860,2298.0,43.8,34.0%,23.1%,4.3%,3.8%,6196,915100
91214,Los Angeles,Glendale; La Crescenta-Montrose; Los Angeles,19545239,104981,127997,43954,19.5%,125547,131650,119356,65111,10357,1197,1355,1238,1103,2317,1130,2017,30787,4079.7,44.0,35.5%,18.7%,3.6%,3.6%,10912,777300
91301,Los Angeles,Agoura Hills; Calabasas,88244782,124012,181113,65059,28.3%,30625,166094,142134,79202,9295,718,963,1032,1001,1673,1282,2626,26334,772.9,44.2,37.1%,21.8%,3.4%,4.1%,9879,834300
91303,Los Angeles,Los Angeles,5603164,61250,77582,26073,4.2%,42857,63647,61508,42112,10097,1839,2354,1766,1479,1583,647,429,31586,14600.2,32.2,16.9%,7.1%,14.4%,5.5%,10575,465100
91304,Los Angeles; Ventura,Los Angeles,24360118,70505,96794,32549,10.1%,49261,58148,86772,61016,17508,2524,3793,3056,2107,2995,1260,1773,54361,5779.7,38.3,20.7%,9.9%,10.4%,4.9%,18182,614500
91306,Los Angeles,Los Angeles,10718170,69917,86522,27079,5.8%,34464,72184,78528,54493,14654,2397,2799,2636,2111,2740,1128,843,49678,12004.4,37.0,20.1%,6.4%,11.2%,5.8%,15176,520200
91311,Los Angeles; Ventura,Los Angeles,83084167,91897,116153,42381,14.1%,50250,99018,98306,70307,14283,1693,2001,1877,2489,2636,1570,2017,40839,1273.1,43.6,25.7%,14.8%,4.7%,5.5%,14595,616400
91316,Los Angeles,Los Angeles,12968535,76978,114634,47593,11.3%,80066,89565,90550,46082,12409,2043,1953,2017,1515,2477,1005,1399,30499,6091.1,41.3,28.5%,20.6%,8.0%,6.6%,12998,685300
91320,Ventura,Casa Conejo; Thousand Oaks,47233904,118986,150243,51206,24.7%,43947,126361,143835,84561,14971,915,1842,1458,1630,3331,2093,3702,44968,2465.7,42.3,29.9%,21.4%,2.8%,4.4%,15622,695200
91321,Los Angeles,Santa Clarita,67023907,73187,96284,31832,8.8%,47697,68021,95152,45592,10781,1615,2163,1751,1192,2080,1032,948,34014,1314.4,35.6,17.1%,8.2%,10.8%,5.5%,11178,483700
91324,Los Angeles,Los Angeles,11368503,80260,102937,36569,10.7%,35329,76765,111667,55208,10012,1791,1533,1474,942,1770,1431,1071,29670,6759.5,38.1,28.2%,12.8%,8.2%,4.1%,10721,624400
91325,Los Angeles,Los Angeles,12496667,71400,99168,35680,11.5%,23750,70956,86344,76875,11920,2132,2257,1768,1317,2060,1017,1369,34575,7165.8,36.9,25.3%,13.8%,7.8%,4.0%,12616,667300
91326,Los Angeles,Los Angeles,21132530,117590,146708,52828,22.4%,73382,119692,130826,82785,12778,1104,1468,1582,1478,2516,1772,2858,36339,4453.7,46.4,32.3%,23.6%,3.8%,4.1%,13581,764300
91331,Los Angeles,Los Angeles,22928479,63807,79356,19534,4.3%,35606,62908,73157,51233,23447,4166,5097,4305,3423,3818,1628,1010,105458,11912.5,33.3,8.8%,2.2%,14.2%,5.9%,24170,425300
91335,Los Angeles,Los Angeles,17002129,63748,83683,26668,6.0%,40563,69631,71958,43607,24391,4447,5194,4668,2817,3978,1820,1467,81824,12464.5,37.1,17.8%,7.5%,10.5%,5.6%,25234,496700
91340,Los Angeles,Los Angeles; San Fernando,8757194,57398,74010,19777,4.0%,30333,52750,71698,36542,8886,1755,2169,1404,1164,1471,568,355,36156,10693.3,33.8,8.7%,2.3%,12.0%,4.3%,9383,431100
91342,Los Angeles,Los Angeles; San Fernando; Santa Clarita,143234552,74050,87775,24976,5.8%,40677,72433,84553,52734,25121,3679,4733,4242,4010,4797,2213,1447,94595,1710.5,35.4,13.2%,5.4%,10.0%,3.6%,26666,462700
91343,Los Angeles,Los Angeles,15310106,66661,88520,25575,7.5%,46250,64664,80837,51621,18035,3257,3617,2768,2331,3247,1470,1345,66743,11290.8,34.0,20.4%,6.2%,15.4%,6.6%,18649,534500
91344,Los Angeles,Los Angeles,42501697,96162,118496,39174,12.8%,60276,109871,106664,68548,17037,1782,2415,2230,2410,3915,2106,2179,53613,3267.1,42.7,25.5%,12.6%,4.2%,5.4%,17834,616100
91350,Los Angeles,Santa Clarita,43910961,117707,129627,41923,16.1%,72679,127949,127739,62222,11402,770,1195,1370,1413,2678,2141,1835,36173,2133.6,37.8,25.7%,11.8%,3.2%,4.0%,11732,543200
91352,Los Angeles,Los Angeles,30330373,57145,75344,21721,3.9%,61364,55771,61899,50125,12436,2560,2824,2274,1539,2024,731,484,47076,4019.9,35.7,13.4%,3.7%,14.6%,5.6%,13150,488600
91354,Los Angeles,Santa Clarita,22598254,128308,151516,49503,24.8%,91268,142635,137108,66500,10444,599,823,952,1357,2390,1730,2593,32544,3729.9,37.6,33.1%,19.6%,2.7%,4.7%,10569,601700
91355,Los Angeles,Santa Clarita,40136581,95696,114928,44956,12.8%,26518,97045,116532,70015,11709,1334,1431,1864,1480,2636,1464,1500,30526,1969.8,40.3,31.3%,15.6%,4.0%,5.0%,12002,563400
91356,Los Angeles,Los Angeles,18996189,76929,130602,53117,18.3%,44803,65612,98438,72543,11802,1907,2082,1726,1263,1610,1060,2154,29822,4066.0,43.7,27.7%,21.6%,7.4%,6.4%,12760,957400
91360,Ventura,Thousand Oaks,37441010,100246,124232,44446,17.9%,31442,108292,132004,67957,14955,1761,1915,1762,2017,3036,1788,2676,43121,2982.9,43.7,26.5%,17.5%,5.0%,4.6%,15609,673600
91362,Los Angeles; Ventura,Simi Valley; Thousand Oaks; Westlake Village,50835804,117566,163157,61494,25.9%,50972,145247,136139,91563,13519,1227,1460,1287,1731,2392,1918,3504,36604,1864.9,45.9,30.5%,24.3%,1.8%,4.7%,14306,814000
91367,Los Angeles,Los Angeles,19245424,96085,128000,52651,17.0%,31429,97000,109925,64464,18433,2407,2323,2340,2397,3274,2550,3142,45970,6186.5,40.2,34.2%,20.0%,5.5%,6.3%,19649,697600
91384,Los Angeles,Castaic; Hasley Canyon; Val Verde,281274899,112122,126841,33659,14.3%,42969,109158,127654,61862,7091,462,724,803,1030,2030,1026,1016,29212,269.0,35.2,18.4%,8.0%,3.2%,6.0%,7252,531000
91387,Los Angeles,Santa Clarita,128267763,98371,117766,36908,15.1%,59808,93958,117386,64830,12815,1117,1603,2094,1686,2849,1532,1934,42034,848.8,34.5,23.1%,10.0%,6.3%,5.5%,13436,536200
91401,Los Angeles,Los Angeles,8943627,53882,82206,32413,8.5%,38917,56374,54474,47807,14933,3730,3345,2310,1292,2001,991,1264,39755,11512.7,36.5,25.4%,9.8%,16.9%,6.0%,15534,703100
91402,Los Angeles,Los Angeles,9652848,45796,61057,18197,2.3%,32743,42557,53834,35927,19839,5341,5386,3198,2318,2277,862,457,72059,19334.4,33.7,14.7%,2.4%,19.8%,8.5%,20459,421800
91403,Los Angeles,Los Angeles,9404037,104802,152702,70657,20.6%,60697,109089,114271,67083,11400,1310,1619,1291,1276,2152,1403,2349,25156,6928.3,39.0,40.1%,23.6%,2.7%,6.4%,12137,1027200
91405,Los Angeles,Los Angeles,8570009,47037,65549,22996,4.2%,38472,47024,54955,28688,18246,4596,4975,3376,2061,1935,533,770,55506,16774.8,34.4,16.4%,6.0%,16.8%,8.0%,18988,488300
91406,Los Angeles,Los Angeles,21061181,59472,78692,27788,5.3%,46944,55492,70662,35307,18398,3553,4399,3305,2059,2585,1515,982,54890,6750.1,35.9,17.7%,8.3%,12.9%,6.1%,19210,545300
91411,Los Angeles,Los Angeles,5289783,58605,80619,30645,6.1%,31101,63094,59487,48650,9493,1780,2221,2012,1215,1150,533,582,26111,12784.5,35.2,25.4%,10.0%,15.4%,5.3%,10165,652900
91423,Los Angeles,Los Angeles,11300302,90931,143054,66356,18.5%,47585,96565,103642,66395,15085,1797,2137,2327,1870,2757,1405,2792,33172,7602.9,38.6,38.1%,22.0%,3.8%,5.9%,16412,938500
91501,Los Angeles,Burbank; Glendale,10275284,67817,94589,38247,12.0%,52500,73562,83853,29708,8057,1650,1427,1508,909,1114,484,965,20511,5170.0,40.5,28.1%,14.8%,9.7%,8.1%,8417,770500
91502,Los Angeles,Burbank,3476597,47148,61473,29982,2.7%,52738,73478,46136,17013,5071,1678,991,839,667,635,125,136,10708,7977.2,36.5,22.7%,10.6%,10.4%,4.9%,5423,570800
91504,Los Angeles,Burbank; Los Angeles,12783282,83994,120326,43562,16.4%,92692,83805,97350,61048,9387,1284,1419,1479,1226,1555,889,1535,26749,5419.5,38.6,28.9%,14.4%,5.7%,6.2%,9816,754000
91505,Los Angeles,Burbank; Los Angeles,13054365,87138,112348,48375,13.0%,6136,103980,105598,56217,12902,2074,1661,1822,1761,2559,1352,1673,30902,6131.0,39.5,32.1%,14.0%,4.1%,5.8%,13531,699300
91506,Los Angeles,Burbank,6339998,81597,107471,44962,14.4%,30227,83649,94219,59915,7522,1006,1233,1167,1039,1244,752,1081,18591,7594.7,42.9,27.0%,11.5%,3.8%,5.7%,7925,721400
91601,Los Angeles,Los Angeles,6864384,53911,75916,36153,6.4%,41667,61455,57758,25771,16710,4198,3667,3022,1885,2086,788,1064,36841,13900.4,33.9,31.6%,9.1%,11.8%,5.0%,18506,656100
91604,Los Angeles,Los Angeles,13340189,111341,171012,77679,27.1%,66435,119777,140257,77053,14641,1813,1562,1463,1784,2407,1637,3975,32910,6389.5,40.2,43.3%,22.8%,1.4%,6.9%,15849,1140800
91605,Los Angeles,Los Angeles,14152235,50623,69678,22668,4.7%,31063,50180,60282,37642,16271,4101,3936,3035,2001,1675,751,772,53113,9720.2,34.8,14.2%,4.6%,15.4%,7.2%,17060,498500
91606,Los Angeles,Los Angeles,8631191,50155,68314,25302,5.0%,37063,52733,62847,29454,15401,3977,3704,2553,1935,1770,699,763,44295,13291.7,36.8,17.5%,6.0%,13.8%,5.1%,16242,560800
91607,Los Angeles,Los Angeles,6318324,71691,95171,44231,10.7%,53654,83290,75736,31686,13607,2607,2648,1817,1912,2298,869,1456,30611,12548.0,39.2,34.8%,14.1%,8.6%,6.5%,14418,822300
91702,Los Angeles,Azusa; Citrus; Glendora; Irwindale; Vincent,438592857,68852,83541,22666,4.0%,51895,69831,74887,55429,15502,2087,3183,3185,2344,3097,979,627,62066,366.5,30.7,14.4%,6.5%,9.5%,5.9%,16641,419000
91706,Los Angeles,Baldwin Park; Irwindale,34792419,65755,77187,20220,3.5%,61250,65512,72210,50714,18328,3207,3816,3686,2919,3004,1057,639,76930,5726.8,35.0,11.0%,2.2%,10.8%,5.8%,19168,409400
91709,San Bernardino,Chino Hills,88536481,106347,123380,39607,15.6%,66458,101120,124940,70280,25289,2013,2918,3444,3323,6081,3574,3936,80701,2360.8,38.0,31.0%,15.6%,4.4%,4.9%,26565,622300
91710,San Bernardino,Chino,55764058,81892,98145,25913,8.3%,60777,89916,94977,55136,22758,2937,3553,3916,3369,4597,2492,1894,91773,4262.4,37.8,16.0%,6.6%,8.2%,5.4%,24283,458700
91722,Los Angeles,Charter Oak; Citrus; Covina; Vincent,10698987,80089,89195,26693,4.5%,38704,86997,90201,58302,9841,979,1826,1800,1696,2094,1001,445,34631,8383.4,37.6,15.5%,5.4%,4.3%,5.8%,10216,445000
91730,San Bernardino,Rancho Cucamonga,37514468,72995,84439,28952,5.0%,47292,80767,78367,46500,24015,3429,4688,4257,4153,4529,1755,1204,72407,4999.0,33.3,18.3%,10.6%,10.0%,7.1%,25297,407000
91731,Los Angeles,El Monte,9881410,42293,56416,16913,1.4%,44792,42464,52442,30793,8263,2467,2195,1517,919,824,222,119,30222,7921.4,34.8,9.6%,2.2%,19.3%,8.0%,8805,450300
91732,Los Angeles,Arcadia; El Monte; Industry,11956829,51268,67194,18709,2.5%,46520,50723,58005,41604,16066,3291,4495,3261,2294,1438,890,397,62905,13626.0,36.0,11.1%,2.3%,14.2%,5.5%,16558,465200
91733,Los Angeles,El Monte; Rosemead; South El Monte; Whittier,17297648,50691,63393,17133,1.7%,36375,54907,56940,34458,11026,2592,2861,2153,1410,1302,517,191,45365,6792.5,34.7,7.4%,2.6%,17.3%,5.9%,11404,435700
91739,San Bernardino,Rancho Cucamonga,76135101,112790,140150,42027,19.5%,83292,110663,124087,103222,11663,946,1069,1099,1622,2894,1763,2270,39875,1356.5,35.1,25.8%,20.6%,3.4%,4.1%,12362,612000
91740,Los Angeles,Charter Oak; Citrus; Glendora; San Dimas,12893756,85590,102709,34528,8.1%,54474,86157,105526,54408,8308,915,1406,1320,1268,1880,842,677,25877,5198.0,40.6,18.5%,10.6%,6.3%,6.3%,8606,501100
91744,Los Angeles,Industry; La Puente; South San Jose Hills; Valinda; West Puente Valley,22764789,71243,83006,20451,4.1%,69659,73194,80887,49254,18969,2660,3744,3604,2998,3716,1478,769,85421,9718.5,34.7,8.8%,2.4%,10.3%,6.8%,19493,420300
91745,Los Angeles,Hacienda Heights; Industry; La Habra Heights,33172982,85975,108564,33789,11.7%,32125,94421,99250,64657,16324,1968,2810,2437,2121,3105,1975,1908,55202,4309.9,42.9,23.7%,10.4%,7.2%,4.8%,17035,595700
91748,Los Angeles,Hacienda Heights; Industry; Rowland Heights,37469296,74438,93315,28711,8.8%,34583,68241,86167,57454,13558,2126,2470,2252,2147,2281,1090,1192,47079,3254.2,40.9,29.8%,9.2%,8.2%,6.0%,14265,628000
91750,Los Angeles,La Verne; Pomona; San Dimas,65371493,89360,114896,41840,13.1%,33015,107036,106774,65423,12110,1663,1644,1824,1581,2551,1258,1589,34129,1352.2,44.9,22.5%,15.5%,5.0%,7.1%,12613,595700
91754,Los Angeles,Monterey Park,11744861,63909,87367,30873,8.6%,26313,79818,73431,47429,11290,2298,2130,1990,1247,1746,912,967,33636,7417.4,43.0,24.3%,10.6%,9.1%,5.0%,12268,619800
91755,Los Angeles,Monterey Park,8046205,58411,83612,28673,9.8%,39583,62227,67624,43333,8665,1807,2050,1345,829,1399,387,848,26803,8627.6,45.7,19.9%,8.2%,11.3%,5.4%,9050,610800
91761,San Bernardino,Ontario,75482211,74072,83817,24931,3.5%,42738,75732,79030,53299,17335,2211,2787,3841,3039,3577,1270,610,61425,2107.6,33.1,13.4%,4.9%,10.1%,6.2%,17988,394000
91762,San Bernardino,Montclair; Ontario,35352716,60293,75454,22896,3.1%,36875,60156,67737,45400,17636,2990,4086,3509,2874,2536,1095,546,61718,4521.5,32.6,12.0%,4.3%,10.8%,6.8%,18597,380600
91763,San Bernardino,Montclair,13388524,62386,73967,20926,2.3%,28832,61077,71355,57630,10233,1565,2383,2195,1528,1776,547,239,38863,7518.0,32.5,11.8%,4.5%,12.0%,7.4%,10459,356500
91764,San Bernardino,Ontario,20796440,61501,72758,22328,2.3%,31912,63715,65938,53077,16482,2769,3654,3599,2796,2494,787,383,56677,7058.6,31.6,11.7%,4.4%,14.1%,6.7%,17174,353600
91765,Los Angeles,Diamond Bar; Industry; Pomona,49001686,100480,121124,40707,14.7%,47500,109312,108920,67784,15119,1505,2281,2018,1714,3441,1936,2224,46593,2462.7,42.8,36.0%,20.0%,4.8%,5.6%,15689,668600
91766,Los Angeles; San Bernardino,Pomona,26334891,59819,77007,20685,5.0%,41127,58459,69876,49125,17987,2916,4483,3457,2588,2564,1077,902,72348,7115.3,31.5,13.3%,4.5%,13.8%,5.8%,18714,399600
91767,Los Angeles,Pomona,14561286,62153,76865,23170,3.9%,33750,64115,72160,46144,14065,2851,2720,2557,2189,2328,874,546,50606,9001.2,33.8,13.7%,5.6%,15.8%,7.7%,14774,392100
91768,Los Angeles,Pomona; San Dimas; Walnut,22412984,56002,71836,18346,2.7%,36506,53457,71214,44157,8045,1375,2163,1365,1222,1206,494,220,35191,4066.6,29.2,11.0%,3.5%,14.1%,9.6%,8358,385900
91770,Los Angeles,Rosemead; South San Gabriel,16634978,59776,74820,21710,4.1%,37391,65817,65315,41632,16648,3144,3979,3357,2159,2407,926,676,62703,9762.6,42.0,16.2%,4.4%,12.0%,4.8%,17675,550700
91773,Los Angeles,San Dimas,37044284,86201,104790,36914,10.9%,85461,95764,112586,55148,11387,1909,1377,1691,1414,2526,1230,1240,34007,2377.6,41.0,23.8%,13.1%,6.1%,3.2%,11994,574300
91775,Los Angeles,East San Gabriel; San Gabriel; Temple City,7945911,86415,113622,38253,14.4%,43750,87984,102292,62847,8113,1128,1312,1006,1139,1551,811,1166,25004,8150.1,42.4,32.8%,15.6%,7.5%,3.6%,8788,810400
91784,San Bernardino,Rancho Cucamonga; San Antonio Heights; Upland,23598843,130421,155319,54441,21.1%,16630,158542,143788,88967,9023,583,746,1028,1102,1921,1738,1905,26090,2863.4,46.5,27.6%,19.0%,3.3%,2.7%,9235,636700
91786,San Bernardino,Upland,23184079,61898,74702,27601,3.7%,36414,62289,71414,50264,19107,3388,4179,4393,2333,2953,1149,712,53697,5998.7,34.8,16.9%,8.4%,11.5%,5.6%,19783,437900
91790,Los Angeles,Valinda; West Covina,14950676,82128,98317,28287,9.3%,29961,83625,96452,63906,12254,1236,2271,1984,2028,2421,1171,1143,45444,7872.5,37.5,17.0%,6.1%,4.9%,5.2%,12717,514800
91791,Los Angeles,Valinda; West Covina,17183698,84530,102623,32571,10.0%,45263,83472,110417,50313,10080,1602,1462,1425,1225,2238,1116,1012,33397,5033.7,39.5,22.4%,10.1%,5.0%,4.6%,10458,606100
91792,Los Angeles,South San Jose Hills; West Covina,9951065,82954,93202,28795,5.3%,24674,84101,92730,61118,8585,1218,1433,1148,1459,2087,788,452,29619,7709.0,38.3,26.7%,7.5%,7.2%,7.5%,8913,492800
91801,Los Angeles,Alhambra,11286776,60519,85655,32971,7.4%,45536,72521,62877,34099,20065,4418,3765,3571,2262,3235,1334,1480,54768,12567.7,40.3,25.2%,12.4%,9.7%,4.5%,21501,611900
91803,Los Angeles,Alhambra,8459237,63264,85770,29494,6.8%,26811,80054,76416,45174,9644,1814,2115,1427,1068,1883,682,655,29567,9052.6,42.3,20.5%,10.5%,9.1%,4.2%,10156,613800
91901,San Diego,Alpine; Descanso; Harbison Canyon,231433556,88395,116270,41928,12.8%,41299,104716,109625,64091,6320,752,1161,716,800,1192,889,810,18162,203.3,40.2,20.9%,13.6%,7.0%,5.1%,6634,599800
91910,San Diego,Bonita; Chula Vista,31687973,65847,85161,30011,5.8%,42188,62727,79210,49425,24942,4484,5192,4104,3236,4517,1962,1447,74855,6118.2,37.8,17.7%,7.7%,10.0%,9.4%,28165,476700
91911,San Diego,Chula Vista; San Diego,30473952,61748,75194,24054,3.5%,49457,63390,72592,41614,24684,4161,5573,5051,3454,4292,1285,868,84026,7141.4,35.7,11.9%,4.8%,10.7%,12.2%,26863,427200
91913,San Diego,Chula Vista,26418433,103127,128633,37406,12.5%,39519,104052,111467,71786,15188,1122,1297,2071,2859,3719,2218,1902,54114,5305.2,33.9,27.8%,12.8%,4.1%,7.0%,16166,524200
91915,San Diego,Chula Vista; San Diego,19709965,115435,127744,35208,14.7%,78295,99583,137982,93044,8731,461,1009,879,1373,2350,1372,1287,33485,4400.1,33.4,31.3%,12.2%,5.2%,7.2%,9338,555700
91932,San Diego,Imperial Beach,6851509,53690,67808,25752,3.4%,61544,51448,64004,43237,9547,1722,2737,1903,1411,1012,437,325,26492,10014.4,33.5,14.3%,7.6%,13.8%,8.6%,10762,563600
91941,San Diego,Casa de Oro-Mount Helix; La Mesa; Rancho San Diego; Spring Valley,20895452,88225,110447,41445,12.4%,33721,86563,101718,63839,11574,1494,1891,1659,1611,2324,1157,1438,31918,3956.2,40.6,26.1%,16.3%,7.2%,6.9%,12350,624900
91942,San Diego,La Mesa; San Diego,15175163,64090,79657,34063,5.0%,43321,75612,74732,41814,16305,3077,3204,3089,2507,2689,929,810,40151,6852.7,35.8,23.4%,14.4%,7.9%,6.2%,17259,495000
91945,San Diego,Lemon Grove; Spring Valley,10162859,64027,73103,24771,2.6%,53750,68241,70075,47727,8603,1534,1941,1673,1319,1447,463,226,27236,6941.1,35.4,12.0%,6.6%,8.9%,8.0%,9066,432000
91950,San Diego,Chula Vista; National City,19716616,46708,63557,21781,3.2%,34300,46775,54620,38832,16963,4381,4546,2869,2347,1784,494,542,62859,8257.2,34.3,10.5%,3.4%,15.7%,6.8%,17978,400300
91977,San Diego,Casa de Oro-Mount Helix; La Presa; Spring Valley,25035304,66147,83302,26525,4.6%,41034,62914,81266,59623,19154,2841,4079,3661,2632,3539,1514,888,64750,6698.6,34.9,16.4%,6.4%,7.9%,8.2%,19868,441700
92008,San Diego,Carlsbad,26692428,84671,119460,51171,16.5%,50789,103655,91518,68053,11307,1208,1580,1938,1677,1998,1043,1863,27151,2634.5,42.1,30.9%,23.2%,3.3%,5.3%,13247,808000
92010,San Diego,Carlsbad,21072913,102004,118767,46326,16.7%,48553,123640,111750,61808,6235,770,807,758,639,1503,718,1040,16346,2009.0,41.3,31.2%,20.7%,8.8%,5.5%,6668,678800
92019,San Diego,Alpine; Casa de Oro-Mount Helix; Crest; El Cajon; Granite Hills; Harbison Canyon; Jamul; Rancho San Diego,71819687,86741,110384,38693,13.2%,31990,87367,103000,68855,14512,1772,2125,2366,2152,2925,1253,1919,43272,1560.5,39.8,21.4%,12.3%,8.0%,5.6%,15449,520100
92020,San Diego,Bostonia; Casa de Oro-Mount Helix; El Cajon; Rancho San Diego,28862289,59151,81094,27719,6.8%,44947,61078,67310,52760,19256,3857,4335,3495,2407,2549,1311,1302,59743,5361.1,35.1,15.4%,8.0%,13.7%,8.4%,19965,526600
92021,San Diego,Bostonia; Crest; El Cajon; Granite Hills; Harbison Canyon; Lakeside; Winter Gardens,76997639,58414,77609,26388,5.2%,42125,58774,67653,47412,22518,4471,5423,3623,3048,3432,1351,1170,70148,2359.6,34.7,13.3%,5.1%,14.1%,7.1%,23340,418400
92024,San Diego,Carlsbad; Encinitas,43870214,116616,166542,66006,25.8%,76034,130603,150559,72663,19821,2083,2373,2470,1819,3278,2682,5116,51381,3033.4,43.1,36.0%,26.2%,4.1%,3.9%,21455,931400
92025,San Diego,Escondido; Poway; San Diego,57270361,58273,83601,26859,7.3%,41776,56208,68070,46827,15957,3050,3767,2993,1784,1988,1214,1161,52985,2396.2,33.0,16.1%,8.8%,16.8%,5.0%,16552,499400
92026,San Diego,Bonsall; Escondido; Hidden Meadows,96393325,75868,93755,33163,8.9%,31890,79360,95798,51310,16948,2393,3092,2889,2466,3049,1553,1506,50321,1352.1,36.5,19.6%,10.8%,6.9%,4.9%,17995,482500
92027,San Diego,Escondido; San Diego; Valley Center,163364740,65989,85284,26803,4.4%,37663,66676,77474,47755,16589,2513,3638,2987,2005,3165,1557,724,56788,900.3,34.3,13.5%,6.5%,8.0%,5.0%,17158,440100
92028,Riverside; San Diego,Fallbrook; Rainbow; Temecula,244464399,74708,99202,35010,9.5%,39150,66554,96324,73486,16297,2120,3288,2774,1979,3076,1513,1547,48173,510.4,40.1,20.4%,11.3%,8.8%,4.6%,17511,564800
92029,San Diego,Escondido; San Diego; San Marcos,61216824,95273,126747,47699,18.0%,72321,105592,103295,77759,7006,613,977,1145,960,1411,639,1261,19382,820.0,45.1,24.7%,18.7%,2.4%,1.9%,7390,639400
92037,San Diego,San Diego,33842473,109194,191008,84425,28.5%,17321,95523,160329,104500,16666,1917,1941,2058,1625,2698,1683,4744,38168,2921.0,45.3,32.7%,42.3%,4.3%,4.1%,20082,1562100
92040,San Diego,Eucalyptus Hills; Lakeside; Winter Gardens,166526748,79803,95838,33224,8.3%,59651,72273,95034,56215,15245,2172,2368,2847,2306,2793,1490,1269,46306,720.2,39.2,14.9%,6.1%,5.1%,5.8%,16104,460900
92054,San Diego,Oceanside,30979947,63404,85789,33243,7.0%,54435,64472,77094,46622,15381,2421,3785,2714,1809,2636,934,1082,41807,3495.2,34.6,22.2%,9.7%,6.8%,6.5%,17864,598000
92056,San Diego,Carlsbad; Oceanside; Vista,32241027,81583,98478,37383,9.1%,60875,96977,103125,52957,18995,2376,3269,3008,2839,3813,1970,1720,52337,4204.3,39.9,22.1%,11.8%,4.9%,5.1%,20131,507500
92057,San Diego,Oceanside,39070099,75687,96228,32599,8.7%,52439,75998,92959,52579,19560,2352,3404,3922,2930,3293,1962,1697,60414,4004.9,37.9,20.1%,9.9%,5.7%,6.4%,20398,460600
92058,San Diego,Camp Pendleton North; Camp Pendleton South; Oceanside,72756132,52591,68302,22760,2.3%,38841,58373,82848,39250,14037,2141,4454,2613,1777,2175,548,329,46029,1638.6,25.3,19.0%,7.8%,10.2%,6.7%,15178,420800
