property_id,prop_type,year_built,is_new_construction,beds,baths_full,baths_half,garage,price,lot_size,building_size,line,neighborhoods,city,county,state_code,postal_code
O2855109598,single_family,1989.0,False,3.0,3,,2,1255000,3960,2169,2115 Canyon Lakes Dr,"['Dougherty Hills', 'Canyon Lakes']",San Ramon,Contra Costa,CA,94582
O2959075342,condo,1974.0,False,3.0,1,1.0,1,725000,880,1276,2869 Fountainhead Dr,['Twin Creeks'],San Ramon,Contra Costa,CA,94583
O2623650829,single_family,1995.0,False,4.0,3,,3,1800000,9540,3002,405 Sunnyside Pl,['Dougherty Valley'],San Ramon,Contra Costa,CA,94582
O1754187599,condo,1989.0,False,2.0,2,,None,614000,None,914,450 Bollinger Canyon Ln Apt 193,"['Dougherty Hills', 'Canyon Lakes']",San Ramon,Contra Costa,CA,94582
O1041923794,condo,1989.0,False,3.0,2,,2,945000,None,2018,41 Eagle Lake Ct Unit 21,"['Dougherty Hills', 'Canyon Lakes']",San Ramon,Contra Costa,CA,94582
O2676792063,single_family,1972.0,False,4.0,2,,2,1310000,7000,1447,3264 Casa Grande Dr,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O1263926671,single_family,2017.0,False,4.0,3,,2,1530000,4048,2353,306 Goldfield Pl,['Dougherty Valley'],San Ramon,Contra Costa,CA,94582
O1955521913,land,2007.0,False,,None,,None,3690000,121968,0,5530 Johnston Rd,None,San Ramon,Contra Costa,CA,94583
O2500076964,condo,1963.0,False,2.0,1,,None,425000,1224,780,9018 Craydon Cir,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O2333770617,single_family,2015.0,False,4.0,2,1.0,2,1322000,2834,1732,3000 Blackberry Ave,"['Dougherty Valley', 'Gale Ranch']",San Ramon,Contra Costa,CA,94582
O1090710689,condo,2009.0,False,3.0,2,1.0,2,968000,1160,2140,5103 Fioli Loop,"['Dougherty Valley', 'Windemere']",San Ramon,Contra Costa,CA,94582
O2861631138,condo,1988.0,False,2.0,1,,None,555000,985,985,270 Eastridge Dr,"['Dougherty Hills', 'Canyon Lakes South']",San Ramon,Contra Costa,CA,94582
O2866960168,single_family,1992.0,False,3.0,2,1.0,2,1205000,3150,1887,347 Winterwind Cir,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O1064766011,condo,1988.0,False,1.0,1,,1,475000,None,778,178 Copper Ridge Rd,"['Dougherty Hills', 'Canyon Lakes South']",San Ramon,Contra Costa,CA,94582
O2498362731,single_family,1983.0,False,4.0,3,,3,1400000,8232,1935,2783 Morgan Dr,['Twin Creeks'],San Ramon,Contra Costa,CA,94583
O2833644415,condo,1989.0,False,2.0,2,1.0,1,735000,None,1232,3791 Crow Canyon Rd,['Dougherty Hills'],San Ramon,Contra Costa,CA,94582
O1212972205,None,,False,,None,,None,1546500,6873,0,1022 Via Veneto,None,San Ramon,Contra Costa,CA,94583
O1792921435,condo,1988.0,False,2.0,2,,None,530000,None,943,160 Reflections Dr Apt 22,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O2308069956,condo,2015.0,False,3.0,2,,2,700000,None,1015,4724 Norris Canyon Rd Unit 201,['Crow Canyon'],San Ramon,Contra Costa,CA,94583
O2491517016,single_family,2004.0,False,4.0,3,1.0,None,1835000,7193,3269,2926 Silva Way,"['Dougherty Valley', 'Windemere']",San Ramon,Contra Costa,CA,94582
