"name","county_name","city_name","aland","median_household_income","average_household_income","per_capita_income","percent_of_households_with_incomes_200000_or_more","householder_under_25_years","householder_25_to_44_years","householder_45_to_64_years","householder_65_years_and_over","hhi_total","hhi_lt_25k","hhi_25k_to_49k","hhi_50k_to_749k","hhi_75k_to_999k","hhi_100k_to_1490k","hhi_150k_to_1999k","hhi_200k_or_more","race_and_ethnicity_total","population_density_sq_mi","median_age","educational_attainment_bachelors","educational_attainment_graduate","family_poverty_pct","unemployment_pct","housing_units","median_value_of_owner_occupied_units","cities","city","city_population"
"92656","Orange","Aliso Viejo; Laguna Hills; Laguna Woods","21314080","111690","133947","50218","17.8%","40141","125458","121357","70845","19244","1603","1937","2175","2488","4512","3097","3432","52268","6351.4","38","36.6%","19.4%","2.9%","3.9%","20393","626400","Aliso Viejo","Aliso Viejo","173394"
"92656","Orange","Aliso Viejo; Laguna Hills; Laguna Woods","21314080","111690","133947","50218","17.8%","40141","125458","121357","70845","19244","1603","1937","2175","2488","4512","3097","3432","52268","6351.4","38","36.6%","19.4%","2.9%","3.9%","20393","626400","Laguna Hills","Laguna Hills","148594"
"92657","Orange","Newport Beach","19141794","204291","310096","126412","50.7%","1","250001","247563","147569","3905","243","170","316","143","713","341","1979","9802","1326.3","48.7","36.3%","41.4%","5.6%","2.3%","4141","2000001","Newport Beach","Newport Beach","160788"
"92660","Orange","Irvine; Newport Beach","25301717","123955","198667","85281","30.2%","51406","132944","160779","92308","15062","1794","1720","1034","1623","2485","1857","4549","35446","3628.4","45.5","40.4%","27.3%","6.2%","4.0%","16957","1668800","Irvine","Irvine","368084"
"92660","Orange","Irvine; Newport Beach","25301717","123955","198667","85281","30.2%","51406","132944","160779","92308","15062","1794","1720","1034","1623","2485","1857","4549","35446","3628.4","45.5","40.4%","27.3%","6.2%","4.0%","16957","1668800","Newport Beach","Newport Beach","160788"
"92661","Orange","Newport Beach","1686740","123558","216007","97115","29.2%","1","98750","154250","116667","1501","172","234","113","117","258","168","439","3445","5289.8","47.8","36.4%","22.5%","11.2%","5.0%","2608","2000001","Newport Beach","Newport Beach","160788"
"92662","Orange","Newport Beach","539404","117969","231488","119559","35.1%","1","71888","142361","109327","1295","91","117","237","106","250","40","454","2519","12095.2","61","43.8%","27.6%","0.0%","4.9%","1942","2000001","Newport Beach","Newport Beach","160788"
"92663","Orange","Newport Beach","8571402","106526","176740","82983","25.6%","1","109770","109032","98147","10072","1059","814","1425","1455","1832","912","2575","21951","6632.9","42.4","37.9%","22.2%","2.2%","1.9%","12095","1462700","Newport Beach","Newport Beach","160788"
"92673","Orange","San Clemente; San Juan Capistrano","30067172","151007","188148","63979","35.6%","73421","192572","172206","85802","10319","732","848","862","858","1791","1554","3674","30768","2650.4","43.2","33.3%","23.1%","2.2%","4.1%","10904","902800","San Juan Capistrano","San Juan Capistrano","135885"
"92675","Orange","Dana Point; Ladera Ranch; San Juan Capistrano","90413502","94429","142957","49400","20.2%","100000","101898","117686","65201","13155","1565","1827","1816","1786","2117","1386","2658","38803","1111.6","40.8","24.1%","14.2%","4.6%","3.2%","14242","731600","Ladera Ranch","Ladera Ranch","160005"
"92675","Orange","Dana Point; Ladera Ranch; San Juan Capistrano","90413502","94429","142957","49400","20.2%","100000","101898","117686","65201","13155","1565","1827","1816","1786","2117","1386","2658","38803","1111.6","40.8","24.1%","14.2%","4.6%","3.2%","14242","731600","San Juan Capistrano","San Juan Capistrano","135885"
"92676","Orange","Lake Forest; Orange","171889627","104779","130139","52359","19.6%","1","1","127708","72292","827","61","120","94","115","200","75","162","2068","31.2","52.4","25.2%","16.7%","2.8%","3.3%","917","699500","Lake Forest","Lake Forest","161327"
"92676","Orange","Lake Forest; Orange","171889627","104779","130139","52359","19.6%","1","1","127708","72292","827","61","120","94","115","200","75","162","2068","31.2","52.4","25.2%","16.7%","2.8%","3.3%","917","699500","Orange","Orange","351376"
"92677","Orange","Aliso Viejo; Laguna Beach; Laguna Hills; Laguna Niguel; Mission Viejo; San Juan Capistrano","43249765","108252","151673","59476","23.1%","59784","103807","133352","82834","25550","2648","3188","3182","2781","4731","3118","5902","66314","3971.2","45.1","32.8%","20.6%","4.9%","4.0%","27695","827100","Aliso Viejo","Aliso Viejo","173394"
"92677","Orange","Aliso Viejo; Laguna Beach; Laguna Hills; Laguna Niguel; Mission Viejo; San Juan Capistrano","43249765","108252","151673","59476","23.1%","59784","103807","133352","82834","25550","2648","3188","3182","2781","4731","3118","5902","66314","3971.2","45.1","32.8%","20.6%","4.9%","4.0%","27695","827100","Laguna Beach","Laguna Beach","107167"
"92677","Orange","Aliso Viejo; Laguna Beach; Laguna Hills; Laguna Niguel; Mission Viejo; San Juan Capistrano","43249765","108252","151673","59476","23.1%","59784","103807","133352","82834","25550","2648","3188","3182","2781","4731","3118","5902","66314","3971.2","45.1","32.8%","20.6%","4.9%","4.0%","27695","827100","Laguna Hills","Laguna Hills","148594"
"92677","Orange","Aliso Viejo; Laguna Beach; Laguna Hills; Laguna Niguel; Mission Viejo; San Juan Capistrano","43249765","108252","151673","59476","23.1%","59784","103807","133352","82834","25550","2648","3188","3182","2781","4731","3118","5902","66314","3971.2","45.1","32.8%","20.6%","4.9%","4.0%","27695","827100","Mission Viejo","Mission Viejo","256192"
"92677","Orange","Aliso Viejo; Laguna Beach; Laguna Hills; Laguna Niguel; Mission Viejo; San Juan Capistrano","43249765","108252","151673","59476","23.1%","59784","103807","133352","82834","25550","2648","3188","3182","2781","4731","3118","5902","66314","3971.2","45.1","32.8%","20.6%","4.9%","4.0%","27695","827100","San Juan Capistrano","San Juan Capistrano","135885"
"92678","Orange","Rancho Santa Margarita","39025311","109750","103406","38242","2.4%","1","127292","117563","61484","207","20","25","25","29","54","49","5","584","38.8","46.1","18.8%","13.5%","6.7%","4.8%","222","724500","Rancho Santa Margarita","Rancho Santa Margarita","124873"
"92679","Orange","Coto de Caza; Lake Forest; Mission Viejo; Rancho Santa Margarita","58575875","175027","224861","75830","41.8%","54837","164643","190762","137259","10863","435","529","834","837","1881","1808","4539","32657","1444","43.5","37.6%","23.2%","2.3%","3.5%","11249","890700","Lake Forest","Lake Forest","161327"
"92679","Orange","Coto de Caza; Lake Forest; Mission Viejo; Rancho Santa Margarita","58575875","175027","224861","75830","41.8%","54837","164643","190762","137259","10863","435","529","834","837","1881","1808","4539","32657","1444","43.5","37.6%","23.2%","2.3%","3.5%","11249","890700","Mission Viejo","Mission Viejo","256192"
"92679","Orange","Coto de Caza; Lake Forest; Mission Viejo; Rancho Santa Margarita","58575875","175027","224861","75830","41.8%","54837","164643","190762","137259","10863","435","529","834","837","1881","1808","4539","32657","1444","43.5","37.6%","23.2%","2.3%","3.5%","11249","890700","Rancho Santa Margarita","Rancho Santa Margarita","124873"
"92683","Orange","Garden Grove; Westminster","25909717","62617","89346","28692","8.7%","38088","70303","80352","40401","27634","6108","5249","4182","3138","4102","2461","2394","91105","9107","41.8","19.6%","7.4%","13.4%","5.3%","28494","603800","Garden Grove","Garden Grove","518307"
"92683","Orange","Garden Grove; Westminster","25909717","62617","89346","28692","8.7%","38088","70303","80352","40401","27634","6108","5249","4182","3138","4102","2461","2394","91105","9107","41.8","19.6%","7.4%","13.4%","5.3%","28494","603800","Westminster","Westminster","122676"
"92688","Orange","Ladera Ranch; Las Flores; Rancho Santa Margarita","28239605","116064","137083","49619","19.4%","50625","120858","135321","52384","15984","1285","1499","1974","2033","3324","2761","3108","44832","4111.8","37.4","34.4%","16.2%","3.6%","3.3%","16406","627700","Ladera Ranch","Ladera Ranch","160005"
"92688","Orange","Ladera Ranch; Las Flores; Rancho Santa Margarita","28239605","116064","137083","49619","19.4%","50625","120858","135321","52384","15984","1285","1499","1974","2033","3324","2761","3108","44832","4111.8","37.4","34.4%","16.2%","3.6%","3.3%","16406","627700","Rancho Santa Margarita","Rancho Santa Margarita","124873"
