ocean_related,environment_related,building_related,community_related,positive_comments,more_rural,more_urban,other,zip_code
0,16,0,21,4,3,6,0,95212
5,22,0,40,11,3,15,6,95205
0,7,1,16,4,4,4,4,95215
0,22,0,31,4,1,11,1,95219
0,67,0,96,25,11,37,9,95240
1,56,1,103,14,8,18,9,95242
0,12,0,16,5,1,6,0,91201
0,10,4,15,4,2,5,0,91202
0,4,0,6,3,2,5,0,91203
0,6,0,14,1,3,24,2,91204
0,8,0,11,2,4,5,0,91205
0,26,0,26,8,6,2,2,91206
0,9,2,13,3,1,12,0,91207
0,15,1,27,8,6,6,2,91208
0,27,0,44,8,4,5,5,95304
0,1,0,2,0,1,6,0,91210
0,28,0,43,6,9,3,1,91214
2,51,5,95,17,13,20,17,93274
3,96,7,168,37,14,55,19,93277
0,50,0,81,12,10,21,6,95336
0,62,1,93,9,11,23,5,95337
1,95,5,173,31,14,38,13,93291
1,101,4,146,27,27,31,21,93292
1,83,4,121,27,21,28,13,95340
0,14,0,34,6,5,5,4,95341
0,15,0,23,2,3,5,2,95348
0,4,1,6,3,2,4,0,93301
1,87,1,161,36,22,61,23,95350
1,37,2,60,10,11,27,9,95351
2,27,2,49,15,4,16,5,93304
0,24,6,36,5,6,18,5,93305
1,47,1,72,16,13,27,7,95354
0,155,7,238,34,26,49,29,95355
0,101,6,137,36,17,71,23,95356
0,29,4,53,11,5,10,5,95357
2,29,0,35,9,4,11,14,95358
0,42,3,82,9,3,12,2,93311
1,78,2,139,22,2,8,8,93312
1,69,1,118,15,12,17,11,93308
0,80,1,154,26,6,13,10,93314
2,86,4,132,28,28,26,14,93306
0,71,3,110,22,11,15,11,93313
0,48,1,78,9,7,36,11,93309
1,69,2,116,17,10,36,9,95376
3,38,0,52,9,7,10,1,95377
1,51,5,103,23,14,35,14,95380
2,64,0,116,15,7,29,7,95382
0,23,2,33,6,7,9,0,91304
0,31,4,51,12,15,30,7,95401
1,13,0,27,4,3,11,1,91306
0,38,1,63,10,16,22,10,95403
0,57,7,89,23,31,48,5,95404
0,12,0,20,2,2,13,1,95405
0,37,0,61,10,9,16,7,90604
0,36,1,53,7,12,15,6,95407
2,45,0,50,9,19,8,1,95409
1,30,0,32,3,13,24,7,90605
0,33,0,42,8,9,32,3,91316
1,30,0,38,9,10,21,1,90606
1,94,0,149,28,52,26,10,91320
0,29,2,48,11,19,17,4,91321
2,27,3,56,7,12,20,10,91331
0,25,0,39,5,10,6,2,91344
0,57,2,89,17,19,9,7,91350
2,54,2,85,17,19,25,5,91351
0,18,1,30,4,7,19,2,91352
2,37,1,60,11,12,13,4,91354
0,48,1,72,16,13,26,4,91355
0,96,0,120,19,23,25,7,91360
0,61,2,89,23,19,27,2,91361
1,85,2,140,33,32,26,11,91362
1,35,0,52,11,17,9,3,91387
0,35,0,67,13,10,4,7,91390
0,19,1,36,7,7,30,0,91403
1,18,3,55,8,3,28,4,91405
0,38,1,71,6,11,30,3,91406
1,94,5,151,25,41,51,21,93455
4,49,6,82,18,18,32,9,93454
1,39,1,67,10,7,14,11,93458
2,46,2,83,16,11,41,14,93534
1,51,3,90,14,11,17,8,93535
0,65,2,118,27,9,18,11,93536
0,18,0,28,7,6,11,0,91501
0,13,0,17,4,3,23,0,91502
0,80,3,99,27,18,20,11,93551
0,15,1,24,2,4,10,4,91504
0,19,0,36,4,5,16,0,91505
0,16,0,31,5,3,13,2,91506
1,34,4,51,14,13,12,5,93552
0,28,0,38,8,5,10,5,93550
2,42,0,63,6,10,21,6,95610
0,40,0,75,10,16,27,2,95616
1,61,2,95,15,10,25,8,95618
0,35,0,49,2,8,22,4,95621
0,52,3,108,17,11,20,6,95624
0,123,3,183,29,57,75,18,95630
0,6,1,13,5,7,3,5,93591
0,6,0,14,2,2,6,0,95655
1,105,2,196,15,20,49,18,93611
1,65,1,106,18,11,35,11,93612
0,47,2,79,8,15,29,5,95661
1,83,3,139,19,28,16,18,93619
0,85,2,112,13,33,54,21,95670
0,72,1,113,10,17,26,11,95677
0,28,2,47,3,9,18,3,95678
0,42,0,74,19,14,25,6,93637
4,27,3,41,11,9,13,9,93638
0,90,1,145,20,20,37,16,95687
3,57,3,89,16,23,25,16,95688
0,19,0,34,6,6,31,4,91602
0,21,0,60,7,6,35,3,91605
0,21,0,32,2,4,1,0,95742
1,76,5,159,34,36,25,23,95746
0,36,0,60,5,7,11,1,95747
0,2,1,7,1,1,6,2,93701
2,11,4,21,4,5,12,1,93702
0,16,1,27,2,4,17,3,93703
0,16,4,27,10,10,9,4,93704
1,53,2,86,11,13,37,14,93705
3,39,2,58,6,13,15,17,93706
0,50,0,76,6,8,14,6,95757
1,47,2,61,4,15,14,6,95758
0,57,4,84,27,11,29,12,93711
2,52,1,82,12,2,18,11,93710
1,57,0,110,10,13,18,8,95765
0,70,0,114,9,14,36,11,93720
0,8,6,21,2,2,19,2,93721
0,108,1,232,32,25,66,15,93722
0,11,1,20,3,5,4,3,93723
1,13,1,36,5,7,7,11,93725
3,52,2,126,21,14,67,19,93726
0,77,6,145,20,15,33,18,93727
0,4,6,15,2,2,10,1,93728
0,30,2,50,10,7,12,6,93730
0,21,1,32,5,5,5,1,91701
0,15,0,32,6,6,20,2,91706
0,7,0,9,2,3,6,3,91708
2,112,3,129,34,75,32,12,91709
3,106,3,199,31,30,57,14,91710
0,4,2,3,1,2,3,5,95811
0,6,1,6,2,4,21,0,95814
0,17,2,37,5,7,24,7,95815
0,5,1,9,1,3,19,2,95816
0,4,1,11,3,2,9,0,95817
0,9,4,11,5,5,16,0,95818
0,3,0,10,2,2,2,1,95819
0,18,0,39,1,5,7,0,95820
0,60,1,79,11,15,23,11,95821
2,22,0,35,4,5,10,2,95822
0,40,0,61,2,10,25,2,95823
0,8,0,17,0,4,9,2,95824
0,18,0,29,1,8,18,5,95825
0,37,0,54,8,2,19,4,91730
0,16,1,23,3,2,11,3,91731
2,25,4,35,7,8,11,8,91732
0,42,1,64,7,4,7,5,95829
3,13,2,26,6,12,13,5,91733
0,15,0,24,1,3,7,0,95831
0,37,2,65,7,8,25,6,95828
0,30,1,47,10,5,7,0,91737
0,24,1,31,0,5,17,2,95834
0,13,0,20,4,5,5,3,91739
0,34,0,46,2,7,11,0,95835
0,22,0,31,0,6,10,1,95833
1,13,0,39,4,4,13,6,95838
0,3,0,3,0,1,2,1,95832
3,43,2,73,5,15,38,11,95841
0,27,2,46,6,9,18,5,91752
2,51,4,80,14,11,28,10,91761
2,42,6,64,11,7,36,2,91762
2,30,4,40,12,4,13,5,91764
0,31,3,34,12,7,15,4,91766
1,46,8,76,15,10,32,4,91767
0,18,0,22,6,7,4,3,95864
0,14,4,25,4,8,9,4,91768
1,83,5,131,32,21,28,10,91784
4,112,12,185,41,36,76,17,91786
1,34,2,58,6,6,32,7,91790
