zip,schoolid,rank,rankOf,rankStars,rankStatewidePercentage,averageStandardScore,isPrivate,has_elementary,has_middle,has_high
90278,60003204955.5,434.8333333333333,5276.666666666667,4.666666666666667,91.815,92.20865333333332,0.0,True,True,False
90280,61667275534.333336,2700.3333333333335,5382.777777777777,2.4444444444444446,52.291111111111114,48.682097777777784,0.0,True,False,True
90290,62271003401.0,915.0,5789.0,4.0,84.19,84.75867,0.0,True,False,False
90292,62271002822.0,3557.0,5789.0,2.0,38.56,34.69587,0.0,True,False,False
90301,61185846646.5,2685.2,3404.4,1.1,23.671000000000003,24.53194,0.0,True,True,True
90303,61275281316.0,3745.375,4947.75,1.375,26.424999999999997,25.794727499999997,0.0,True,True,True
90304,61894469504.625,2203.285714285714,4827.571428571428,2.857142857142857,55.862857142857145,51.08677428571429,0.0,True,True,True
90403,63570006094.666664,187.66666666666666,4764.333333333333,5.0,95.62333333333333,95.52891000000001,0.0,True,True,False
90404,63570008770.333336,1122.0,5789.0,4.0,80.61500000000001,81.02493000000001,0.0,True,False,False
90405,63570006276.14286,971.5,4667.333333333333,4.166666666666667,80.48166666666667,79.14758,0.0,True,True,True
90501,63141678845.57143,1499.2,4443.0,3.0,59.938,56.596398,0.0,True,True,True
90503,63942005690.0,536.0,3944.6,4.4,86.786,86.00321199999999,0.0,True,True,False
90504,63942006559.14286,970.0,4388.428571428572,3.857142857142857,78.50571428571428,76.69691285714286,0.0,True,True,True
90505,63942007101.4,415.75,4252.0,4.75,90.6675,91.2377275,0.0,True,True,False
90602,62715004126.5,3021.0,5789.0,2.0,47.815,42.765240000000006,0.0,True,False,False
90604,62408628635.625,1450.7142857142858,3866.1428571428573,2.857142857142857,59.107142857142854,55.967679999999994,0.0,True,True,True
90606,63511881584.125,1733.857142857143,4388.428571428572,3.0,60.84571428571429,55.64308714285714,0.0,True,True,True
90620,61045751698.25,1623.0,5349.857142857143,3.2857142857142856,68.38714285714286,65.31574857142857,0.0,True,True,True
90621,60756002721.71429,2644.5,5179.666666666667,2.6666666666666665,49.278333333333336,45.86772833333333,0.0,True,False,True
