zipcode,county_name,city,population,population_rank,city_name,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_25_to_44_years,householder_45_to_64_years,householder_65_years_and_over,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
90010,Los Angeles,Los Angeles,3966936,1,Los Angeles,1184444,63112,82447,44814,0.08,41391,64046,75357,26875,2029,495,408,388,200,285,90,163,3822,8360.0,37.1,0.395,0.106,0.1271,0.079,2459,866000
90011,Los Angeles,Los Angeles,3966936,1,Los Angeles,11100440,40940,52535,12931,0.01,46029,38110,45748,31194,24433,7222,7521,4053,2727,2085,576,249,111165,25940.0,28.7,0.037,0.01599,0.297,0.08203,25496,377600
90012,Los Angeles,Los Angeles,3966936,1,Los Angeles,8379980,47027,74907,30023,0.06198,35804,83373,42095,15589,13216,4650,2105,1560,1276,2027,783,815,36552,11300.0,35.3,0.22,0.11,0.19,0.073,14156,533200
90013,Los Angeles,Los Angeles,3966936,1,Los Angeles,1737688,22316,65566,41048,0.07104,31755,73971,11228,12461,7308,3873,869,485,451,869,240,521,12559,18720.0,43.3,0.2559,0.12103,0.116,0.10297,8687,657400
90014,Los Angeles,Los Angeles,3966936,1,Los Angeles,733426,40641,67825,46007,0.06,36029,84722,12017,12041,5644,2525,534,567,446,916,320,336,8688,30690.0,41.7,0.3171,0.12396,0.165,0.079,6305,544500
95833,Sacramento,Sacramento,500930,6,Sacramento,20071718,63418,82805,31358,0.057,36524,64463,68250,60625,14656,2162,3041,3355,2041,2324,903,830,39905,5148.0,31.5,0.212,0.1,0.089,0.061,15414,293400
90822,Los Angeles,Long Beach,466776,7,Long Beach,420822,68372,90614,14920,0.08905,41443,76326,81692,47284,14966,2849,3168,2502,1950,2216,1079,1200,133,818.5,73.1,0.03,0.263,0.1079,0.05386,15850,541078
91767,Los Angeles,Pomona,152209,37,Pomona,14561286,62153,76865,23170,0.039,33750,64115,72160,46144,14065,2851,2720,2557,2189,2328,874,546,50606,9000.0,33.8,0.1371,0.05603,0.158,0.07697,14774,392100
92701,Orange,Santa Ana,332794,11,Santa Ana,8464671,52372,65797,17064,0.027,78929,51519,62014,25152,13209,2802,3496,2782,1464,1767,536,362,55058,16850.0,29.5,0.079,0.03,0.1841,0.04602,13683,448100
93711,Fresno,Fresno,525010,5,Fresno,29213968,73930,108756,46464,0.101,47028,70815,96702,65399,15929,1969,3390,2727,2007,2811,1412,1613,38007,3370.0,43.8,0.26,0.175,0.059,0.067,16808,357300
